Orthogroup	Duplications (all)	Duplications (50% support)
OG0000898	3	3
OG0000899	3	3
OG0000900	3	3
OG0000901	3	3
OG0000902	3	3
OG0000903	3	3
OG0000904	3	3
OG0000905	3	3
OG0000906	3	3
OG0000907	3	3
OG0000908	3	3
OG0000909	3	3
OG0000910	3	3
OG0000911	3	3
OG0000912	4	4
OG0000913	3	3
OG0000914	3	3
OG0000915	3	3
OG0000916	3	3
OG0000917	3	3
OG0000918	3	3
OG0000919	3	3
OG0000920	3	3
OG0000921	3	3
OG0000922	3	3
OG0000923	3	3
OG0000924	3	3
OG0000925	3	3
OG0000926	3	3
OG0000927	3	3
OG0000928	3	3
OG0000929	3	3
OG0000930	3	3
OG0000931	3	3
OG0000932	3	3
OG0000933	3	3
OG0000934	3	3
OG0000935	3	3
OG0000936	3	3
OG0000937	3	3
OG0000938	3	3
OG0000939	3	3
OG0000940	3	3
OG0000941	3	3
OG0000942	3	3
OG0000943	3	3
OG0000944	3	3
OG0000945	3	3
OG0000946	3	3
OG0000947	3	3
OG0000948	3	3
OG0000949	3	3
OG0000950	3	3
OG0000951	3	3
OG0000952	3	3
OG0000953	3	3
OG0000954	3	3
OG0000955	3	3
OG0000956	3	3
OG0000957	3	3
OG0000958	3	3
OG0000959	3	3
OG0000960	3	3
OG0000961	3	3
OG0000962	3	3
OG0000963	3	3
OG0000964	3	3
OG0000965	3	3
OG0000966	3	3
OG0000967	4	4
OG0000968	3	3
OG0000969	3	3
OG0000970	3	3
OG0000971	3	3
OG0000972	3	3
OG0000973	3	3
OG0000974	3	3
OG0000975	3	3
OG0000976	3	3
OG0000977	3	3
OG0000978	3	3
OG0000979	3	3
OG0000980	3	3
OG0000981	3	3
OG0000982	3	3
OG0000983	3	3
OG0000984	3	3
OG0000985	3	3
OG0000986	3	3
OG0000987	3	3
OG0000988	3	3
OG0000989	3	3
OG0000990	3	3
OG0000991	3	3
OG0000992	3	3
OG0000993	2	2
OG0000994	3	3
OG0000995	3	3
OG0000996	3	3
OG0000997	3	3
OG0000998	3	3
OG0000999	3	3
OG0001000	3	3
OG0001001	3	3
OG0001002	3	3
OG0001003	3	3
OG0001004	3	3
OG0001005	3	3
OG0001006	3	3
OG0001007	3	3
OG0001008	3	3
OG0001009	3	3
OG0001010	3	3
OG0001011	2	2
OG0001012	3	3
OG0001013	3	3
OG0001014	3	3
OG0001015	3	3
OG0001016	3	3
OG0001017	3	3
OG0001018	3	3
OG0001019	3	3
OG0001020	3	3
OG0001021	3	3
OG0001022	3	3
OG0001023	3	3
OG0001024	3	3
OG0001025	3	3
OG0001026	3	3
OG0001027	3	3
OG0001028	3	3
OG0001029	3	3
OG0001030	3	3
OG0001031	3	3
OG0001032	3	3
OG0001033	3	3
OG0001034	3	3
OG0001035	3	3
OG0001036	3	3
OG0001037	3	3
OG0001038	3	3
OG0001039	3	3
OG0001040	3	3
OG0001041	3	3
OG0001042	3	3
OG0001043	3	3
OG0001044	3	3
OG0001045	3	3
OG0001046	3	3
OG0001047	3	3
OG0001048	3	3
OG0001049	3	3
OG0001050	3	3
OG0001051	3	3
OG0001052	3	3
OG0001053	3	3
OG0001054	0	0
OG0001055	3	3
OG0001056	3	3
OG0001057	3	3
OG0001058	3	3
OG0001059	3	3
OG0001060	3	3
OG0001061	3	3
OG0001062	3	3
OG0001063	3	3
OG0001064	3	3
OG0001065	3	3
OG0001066	3	3
OG0001067	3	3
OG0001068	3	3
OG0001069	3	3
OG0001070	3	3
OG0001071	3	3
OG0001072	3	3
OG0001073	3	3
OG0001074	3	3
OG0001075	3	3
OG0001076	3	3
OG0001077	3	3
OG0001078	3	3
OG0001079	3	3
OG0001080	3	3
OG0001081	3	3
OG0001082	3	3
OG0001083	3	3
OG0001084	3	3
OG0001085	3	3
OG0001086	3	3
OG0001087	3	3
OG0001088	3	3
OG0001089	3	3
OG0001090	3	3
OG0001091	3	3
OG0001092	3	3
OG0001093	3	3
OG0001094	3	3
OG0001095	3	3
OG0001096	3	3
OG0001097	3	3
OG0001098	3	3
OG0001099	3	3
OG0001100	3	3
OG0001101	3	3
OG0001102	3	3
OG0001103	3	3
OG0001104	3	3
OG0001105	3	3
OG0001106	3	3
OG0001107	3	3
OG0001108	3	3
OG0001109	3	3
OG0001110	3	3
OG0001111	3	3
OG0001112	3	3
OG0001113	3	3
OG0001114	3	3
OG0001115	3	3
OG0001116	3	3
OG0001117	3	3
OG0001118	3	3
OG0001119	3	3
OG0001120	3	3
OG0001121	3	3
OG0001122	3	3
OG0001123	3	3
OG0001124	3	3
OG0001125	3	3
OG0001126	3	3
OG0001127	3	3
OG0001128	3	3
OG0001129	3	3
OG0001130	3	3
OG0001131	3	3
OG0001132	3	3
OG0001133	3	3
OG0001134	3	3
OG0001135	3	3
OG0001136	3	3
OG0001137	3	3
OG0001138	3	3
OG0001139	3	3
OG0001140	2	2
OG0001141	3	3
OG0001142	3	3
OG0001143	3	3
OG0001144	3	3
OG0001145	3	3
OG0001146	3	3
OG0001147	3	3
OG0001148	3	3
OG0001149	3	3
OG0001150	3	3
OG0001151	3	3
OG0001152	3	3
OG0001153	3	3
OG0001154	3	3
OG0001155	3	3
OG0001156	3	3
OG0001157	3	3
OG0001158	3	3
OG0001159	3	3
OG0001160	3	3
OG0001161	3	3
OG0001162	3	3
OG0001163	3	3
OG0001164	3	3
OG0001165	3	3
OG0001166	3	3
OG0001167	3	3
OG0001168	3	3
OG0001169	3	3
OG0001170	3	3
OG0001171	3	3
OG0001172	3	3
OG0001173	3	3
OG0001174	3	3
OG0001175	3	3
OG0001176	3	3
OG0001177	3	3
OG0001178	3	3
OG0001179	3	3
OG0001180	3	3
OG0001181	3	3
OG0001182	3	3
OG0001183	3	3
OG0001184	3	3
OG0001185	3	3
OG0001186	3	3
OG0001187	3	3
OG0001188	3	3
OG0001189	3	3
OG0001190	3	3
OG0001191	3	3
OG0001192	3	3
OG0001193	3	3
OG0001194	3	3
OG0001195	3	3
OG0001196	3	3
OG0001197	3	3
OG0001198	3	3
OG0001199	3	3
OG0001200	3	3
OG0001201	3	3
OG0001202	3	3
OG0001203	3	3
OG0001204	3	3
OG0001205	3	3
OG0001206	3	3
OG0001207	3	3
OG0001208	3	3
OG0001209	3	3
OG0001210	3	3
OG0001211	3	3
OG0001212	2	2
OG0001213	3	3
OG0001214	3	3
OG0001215	3	3
OG0001216	3	3
OG0001217	3	3
OG0001218	3	3
OG0001219	3	3
OG0001220	3	3
OG0001221	3	3
OG0001222	3	3
OG0001223	3	3
OG0001224	3	3
OG0001225	3	3
OG0001226	3	3
OG0001227	3	3
OG0001228	4	4
OG0001229	3	3
OG0001230	3	3
OG0001231	3	3
OG0001232	3	3
OG0001233	3	3
OG0001234	3	3
OG0001235	3	3
OG0001236	3	3
OG0001237	3	3
OG0001238	3	3
OG0001239	3	3
OG0001240	3	3
OG0001241	3	3
OG0001242	3	3
OG0001243	3	3
OG0001244	2	2
OG0001245	3	3
OG0001246	3	3
OG0001247	3	3
OG0001248	3	3
OG0001249	3	3
OG0001250	3	3
OG0001251	3	3
OG0001252	3	3
OG0001253	3	3
OG0001254	3	3
OG0001255	3	3
OG0001256	3	3
OG0001257	3	3
OG0001258	3	3
OG0001259	3	3
OG0001260	3	3
OG0001261	3	3
OG0001262	3	3
OG0001263	3	3
OG0001264	3	3
OG0001265	3	3
OG0001266	2	2
OG0001267	3	3
OG0001268	3	3
OG0001269	3	3
OG0001270	3	3
OG0001271	3	3
OG0001272	3	3
OG0001273	3	3
OG0001274	4	4
OG0001275	3	3
OG0001276	3	3
OG0001277	3	3
OG0001278	3	3
OG0001279	3	3
OG0001280	3	3
OG0001281	3	3
OG0001282	3	3
OG0001283	3	3
OG0001284	3	3
OG0001285	3	3
OG0001286	3	3
OG0001287	3	3
OG0001288	3	3
OG0001289	3	3
OG0001290	3	3
OG0001291	3	3
OG0001292	3	3
OG0001293	3	3
OG0001294	3	3
OG0001295	3	3
OG0001296	3	3
OG0001297	3	3
OG0001298	3	3
OG0001299	3	3
OG0001300	3	3
OG0001301	3	3
OG0001302	3	3
OG0001303	3	3
OG0001304	3	3
OG0001305	3	3
OG0001306	3	3
OG0001307	3	3
OG0001308	3	3
OG0001309	3	3
OG0001310	3	3
OG0001311	3	3
OG0001312	3	3
OG0001313	3	3
OG0001314	3	3
OG0001315	3	3
OG0001316	3	3
OG0001317	2	2
OG0001318	3	3
OG0001319	3	3
OG0001320	3	3
OG0001321	4	4
OG0001322	3	3
OG0001323	3	3
OG0001324	3	3
OG0001325	3	3
OG0001326	3	3
OG0001327	3	3
OG0001328	3	3
OG0001329	3	3
OG0001330	3	3
OG0001331	3	3
OG0001332	3	3
OG0001333	3	3
OG0001334	3	3
OG0001335	3	3
OG0001336	3	3
OG0001337	3	3
OG0001338	3	3
OG0001339	3	3
OG0001340	2	2
OG0001341	3	3
OG0001342	3	3
OG0001343	3	3
OG0001344	3	3
OG0001345	3	3
OG0001346	3	3
OG0001347	3	3
OG0001348	3	3
OG0001349	3	3
OG0001350	3	3
OG0001351	3	3
OG0001352	3	3
OG0001353	3	3
OG0001354	3	3
OG0001355	3	3
OG0001356	3	3
OG0001357	3	3
OG0001358	3	3
OG0001359	3	3
OG0001360	3	3
OG0001361	3	3
OG0001362	3	3
OG0001363	3	3
OG0001364	3	3
OG0001365	3	3
OG0001366	3	3
OG0001367	3	3
OG0001368	3	3
OG0001369	3	3
OG0001370	3	3
OG0001371	2	2
OG0001372	3	3
OG0001373	3	3
OG0001374	3	3
OG0001375	3	3
OG0001376	3	3
OG0001377	3	3
OG0001378	3	3
OG0001379	3	3
OG0001380	3	3
OG0001381	3	3
OG0001382	3	3
OG0001383	2	2
OG0001384	4	4
OG0001385	3	3
OG0001386	3	3
